nombre,url,gif_url,tipo_ejercicio,grupo_muscular,musculos_involucrados,equipamiento,dificultad_actual,dificultad_maxima,instrucciones
Elevación de piernas en Fitball,https://fitcron.com/exercise/elevacion-de-piernas-en-fitball-abdomen/,https://fitcron.com/wp-content/uploads/2021/04/06501301-Pull-In-on-stability-ball_waist_720.gif,Fuerza,Abdomen,"Abdomen, Oblicuos",Fitball,3,3,"[""Túmbate hacia abajo sobre el fitball."",""Apoya las manos en el suelo y deslízate hacia delante hasta lograr apoyar los pies sobre el fitball y las manos justo debajo de los hombros."",""Procura apretar el abdomen para que la lumbar no se vaya hacia el suelo y quede protegida."",""Comienza a realizar los encogimientos llevando las rodillas hacia el pecho manteniendo todo el cuerpo por encima de la pelota y las manos siempre debajo de los hombros.""]"
Elevación de piernas estiradas Colgado,https://fitcron.com/exercise/elevacion-de-piernas-estiradas-colgado-abdomen/,https://fitcron.com/wp-content/uploads/2021/04/04751301-Hanging-Straight-Leg-Raise_Hips_720.gif,Fuerza,Abdomen,"Abdomen, Oblicuos",Otro,3,3,"[""Cuélgate de una barra de dominadas con las manos hacia delante a la anchura de los hombros."",""Eleva las piernas con ellas totalmente estiradas mediante la contracción del abdomen hasta tener los pies frente a la cadera (piernas a 90º del torso)."",""Desciende de forma controlada y vuelve a subir evitando balanceos.""]"
Elevación de piernas estiradas en soporte,https://fitcron.com/exercise/elevacion-de-piernas-estiradas-en-soporte-abdomen/,https://fitcron.com/wp-content/uploads/2021/04/29631301-Captains-Chair-Straight-Leg-Raise_Waist_720.gif,Fuerza,Abdomen,"Abdomen, Oblicuos",Otro,2,3,"[""Apoya la espalda y los antebrazos en el soporte, con las manos agarradas."",""Eleva las piernas con ellas totalmente estiradas mediante la contracción del abdomen hasta tener los pies frente a la cadera (piernas a 90º del torso)."",""Desciende de forma controlada y vuelve a subir evitando balanceos.""]"
Elevación de piernas flexionadas Colgado,https://fitcron.com/exercise/elevacion-de-piernas-flexionadas-colgado-abdomen/,https://fitcron.com/wp-content/uploads/2021/04/17641301-Hanging-Leg-Hip-Raise_Waist_720.gif,Fuerza,Abdomen,"Abdomen, Oblicuos",Otro,2,3,"[""Cuélgate de una barra de dominadas con las manos hacia delante a una anchura algo superior a la de los hombros."",""Eleva las piernas con ellas flexionadas mediante la contracción del abdomen hasta tener las rodillas delante del pecho."",""Desciende de forma controlada y vuelve a subir evitando balanceos.""]"
Elevación de piernas flexionadas en soporte,https://fitcron.com/exercise/elevacion-de-piernas-flexionadas-en-soporte-abdomen/,https://fitcron.com/wp-content/uploads/2021/04/08261301-Vertical-Leg-Raise-on-parallel-bars_Hips_720.gif,Fuerza,Abdomen,"Abdomen, Oblicuos",Otro,2,3,"[""Apoya la espalda y los antebrazos en el soporte, con las manos agarradas."",""Eleva las piernas con ellas flexionadas mediante la contracción del abdomen hasta tener las rodillas delante del pecho."",""Desciende de forma controlada y vuelve a subir evitando balanceos.""]"
Elevación de piernas laterales Colgado,https://fitcron.com/exercise/elevacion-de-piernas-laterales-colgado-abdomen/,https://fitcron.com/wp-content/uploads/2021/04/17611301-Hanging-Oblique-Knee-Raise_Waist_720.gif,Fuerza,Abdomen,"Abdomen, Oblicuos",Otro,3,3,"[""Cuélgate de una barra de dominadas con las manos hacia delante a una anchura algo superior a la de los hombros."",""Eleva las piernas con ellas juntas y flexionadas hacia un lado, mediante la contracción del abdomen hasta tener las rodillas a la altura del pecho (hacia un lado)."",""Desciende de forma controlada y vuelve a subir hacia el otro lado evitando balanceos.""]"
Elevación de rodillas,https://fitcron.com/exercise/elevacion-de-rodillas-cardio/,https://fitcron.com/wp-content/uploads/2021/03/35561301-High-Knee-Run_Cardio_720.gif,Cardio,Todos,,Ninguno,1,3,"[""La forma eficiente de hacer este ejercicio es elevando las rodillas constantemente a la altura de la cadera, manteniendo la espalda recta, el pecho erguido, los abdominales contraídos y las rodillas suaves al impacto.""]"
Elevación de rodillas con apoyo,https://fitcron.com/exercise/elevacion-de-rodillas-con-apoyo-cardio/,https://fitcron.com/wp-content/uploads/2021/03/36361301-High-Knee-against-wall_Cardio_720.gif,Cardio,Todos,,Ninguno,1,3,"[""La forma eficiente de hacer este ejercicio es elevando las rodillas constantemente sobre la altura de la cadera, manteniendo el torso recto con los brazos apoyados en una pared.""]"
Elevación Frontal Aislada en Polea,https://fitcron.com/exercise/elevacion-frontal-aislada-en-polea-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/01611301-Cable-Forward-Raise_Shoulders_720.gif,Fuerza,Hombro,"Trapecio, Deltoides",Polea,2,3,"[""De pie de espaldas a la polea, con la espalda recta y las piernas ligeramente separadas, coge la barra con la mano en pronación (palma hacia abajo)."",""Con el brazo rectos, eleva la barra hasta subir la mano a la altura de los hombros y desciende de nuevo de forma controlada.""]"
Elevación Frontal Cerrada en Pronación con Barra,https://fitcron.com/exercise/elevacion-frontal-cerrada-en-pronacion-con-barra-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/01191301-Barbell-Upright-Row-II_Shoulders_720.gif,Fuerza,Hombro,"Trapecio, Deltoides",Barra Larga,2,3,"[""De pie con la espalda recta y las piernas ligeramente separadas, coge la barra con las manos en pronación (palmas hacia abajo) a una anchura muy inferior a la de los hombros."",""Con los brazos algo flexionados, eleva la barra hasta subir las manos a la altura de los hombros y desciende de nuevo de forma controlada.""]"
Elevación Frontal con giros con Barra Z,https://fitcron.com/exercise/elevacion-frontal-con-giros-con-barra-z-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/39861301-EZ-bar-Front-Twist-Raise_Shoulders_720.gif,Fuerza,Hombro,"Trapecio, Deltoides",Barra Z,3,3,"[""De pie con la espalda recta y las piernas ligeramente separadas, coge la barra con las manos en pronación (palmas hacia abajo) a la anchura de los hombros."",""Con los brazos rectos, eleva la barra hasta subir las manos un poco por encima de la altura de los hombros."",""Una vez subida, gira hacia un lado y hacia el otro, inclinando la barra 45° a cada lado y desciende de nuevo de forma controlada.""]"
Elevación Frontal con Mancuerna,https://fitcron.com/exercise/elevacion-frontal-con-mancuerna-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/03091301-Dumbbell-Front-Raise-II_Shoulders_720.gif,Fuerza,Hombro,"Trapecio, Deltoides",Mancuernas,1,3,"[""De pie con la espalda recta y las piernas ligeramente separadas, coge la mancuerna por delante del cuerpo con las dos manos y los dedos entrelazados."",""Con los brazos rectos, eleva las mancuernas frontalmente hasta ponerlas a la altura de la cabeza y desciende de nuevo de forma controlada.""]"
Elevación Frontal Declinada Abierta con Barra Z,https://fitcron.com/exercise/elevacion-frontal-declinada-abierta-con-barra-z-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/04451301-EZ-Barbell-Anti-Gravity-Press_Shoulders_720.gif,Fuerza,Hombro,"Trapecio, Deltoides","Banco Inclinable, Barra Z",2,3,"[""Túmbate hacia abajo en un banco declinado, apoyando el pecho en el respaldo y con los pies en el suelo."",""Coge la barra con las manos en pronación (palmas hacia abajo) a la anchura máxima posible."",""Con los codos ligeramente flexionados, eleva la barra hasta tener los brazos perpendiculares al cuerpo y desciende de nuevo de forma controlada.""]"
Elevación Frontal Declinada con Mancuerna,https://fitcron.com/exercise/elevacion-frontal-declinada-con-mancuerna-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/39801301-Dumbbell-Incline-Front-Raise-with-Chest-Support_Shoulder_720.gif,Fuerza,Hombro,"Trapecio, Deltoides","Banco Inclinable, Mancuernas",2,3,"[""Túmbate hacia abajo en un banco declinado, apoyando el pecho en el respaldo y con los pies en el suelo."",""Coge una mancuerna con ambas manos y los dedos entrelazados."",""Con los codos ligeramente flexionados, eleva la mancuerna hasta ponerla a la altura de la cabeza y desciende de nuevo de forma controlada.""]"
Elevación Frontal Declinada en Pronación con Barra,https://fitcron.com/exercise/elevacion-frontal-declinada-en-pronacion-con-barra-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/37221301-Barbell-Incline-Lying-Rear-Delt-Raise_Shoulder_720.gif,Fuerza,Hombro,"Trapecio, Deltoides","Banco Inclinable, Barra Larga",2,3,"[""Túmbate hacia abajo en un banco declinado, apoyando el pecho en el respaldo y con los pies en el suelo."",""Coge la barra con las manos en pronación (palmas hacia abajo) a la anchura de los hombros."",""Con los codos ligeramente flexionados, eleva la barra hasta poner la barra a la altura de la cabeza y desciende de nuevo de forma controlada.""]"
Elevación Frontal en Polea,https://fitcron.com/exercise/elevacion-frontal-en-polea-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/01621301-Cable-Front-Raise_Shoulders_720.gif,Fuerza,Hombro,"Trapecio, Deltoides",Polea,2,3,"[""De pie de espaldas a la polea, con la espalda recta y las piernas ligeramente separadas, coge la barra con las manos en pronación (palmas hacia abajo) a la anchura de los hombros."",""Con los brazos rectos, eleva la barra hasta subir las manos un poco por encima de la altura de los hombros y desciende de nuevo de forma controlada.""]"
Elevación Frontal en Pronación con Barra,https://fitcron.com/exercise/elevacion-frontal-en-pronacion-con-barra-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/00411301-Barbell-Front-Raise_Shoulders_720.gif,Fuerza,Hombro,"Trapecio, Deltoides",Barra Larga,2,3,"[""De pie con la espalda recta y las piernas ligeramente separadas, coge la barra con las manos en pronación (palmas hacia abajo) a la anchura de los hombros."",""Con los brazos rectos, eleva la barra hasta subir las manos un poco por encima de la altura de los hombros y desciende de nuevo de forma controlada.""]"
Elevación Frontal Horizontal en Polea,https://fitcron.com/exercise/elevacion-frontal-horizontal-en-polea-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/42271301-Cable-Lying-Front-Raise_Shoulders_720.gif,Fuerza,Hombro,"Trapecio, Deltoides",Polea,2,3,"[""Tumbado hacia arriba en el suelo con los pies cerca de la polea, coge la barra en pronación (palmas hacia abajo) a la anchura de los hombros."",""Con los brazos estirados, sube la barra hasta tenerlos verticales."",""Desciende de forma controlada sin descansar abajo.""]"
Elevación Frontal Inclinada en Polea,https://fitcron.com/exercise/elevacion-frontal-inclinada-en-polea-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/40141301-Cable-Standing-Front-Raise-Variation_Shoulders_720.gif,Fuerza,Hombro,"Trapecio, Deltoides",Polea,2,3,"[""De pie con la espalda recta y las piernas ligeramente separadas, coge la barra con las manos en pronación (palmas hacia abajo) a la anchura de los hombros."",""Con los brazos rectos, eleva la barra hasta subir las manos un poco por encima de la altura de los hombros, inclinando hacia un lado 45° de forma que una mano quede por encima de la otra y desciende de nuevo de forma controlada."",""Cambia de lado en cada repetición o al terminar la serie.""]"
Elevación Frontal Inclinada en Supinación con Barra Z,https://fitcron.com/exercise/elevacion-frontal-inclinada-en-supinacion-con-barra-z-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/39891301-EZ-bar-Incline-Front-Raise_Shoulders_720.gif,Fuerza,Hombro,"Trapecio, Deltoides","Banco Inclinable, Barra Z",2,3,"[""Tumbado hacia arriba en un banco inclinado, coge la barra con las manos en supinación a la anchura de los hombros."",""Con los codos ligeramente flexionados, eleva la barra hasta poner los brazos perpendiculares al cuerpo y desciende de nuevo de forma controlada.""]"
Elevación Lateral Aislada con Banda,https://fitcron.com/exercise/elevacion-lateral-aislada-con-banda-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/09771301-Band-front-lateral-raise_Shoulders_720.gif,Fuerza,Hombro,"Trapecio, Deltoides",Bandas,1,3,"[""De pie con la espalda recta y las piernas ligeramente separadas, agarra la banda por delante del cuerpo, con el brazo contrario a donde esté enganchada y la palma hacia el cuerpo."",""Sin balanceo ni impulso, eleva la mano hacia el lateral en diagonal con la mano mirando hacia abajo."",""Desciende de forma controlada sin descansar abajo.""]"
Elevación Lateral Aislada en Polea,https://fitcron.com/exercise/elevacion-lateral-aislada-en-polea-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/01921301-Cable-One-Arm-Lateral-Raise_Shoulders_720.gif,Fuerza,Hombro,"Trapecio, Deltoides",Polea,2,3,"[""De pie al lado de la polea con las piernas separadas, agarra la polea con el brazo más alejado y la palma hacia el cuerpo."",""Sin balanceo ni impulso, eleva la mano hacia el lateral con la mano mirando hacia abajo."",""Desciende de forma controlada sin descansar abajo.""]"
Elevación Lateral Concentrada en Polea,https://fitcron.com/exercise/elevacion-lateral-concentrada-en-polea-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/38801301-Cable-Leaning-Lateral-Raise_Shoulders_720.gif,Fuerza,Hombro,"Trapecio, Deltoides",Polea,2,3,"[""De pie al lado de la polea con los pies juntos justo en el mástil, agarra la polea con el brazo más alejado y la palma hacia el cuerpo."",""Con la otra mano agarra el mástil a la altura del hombro y deja caer el cuerpo al lado contrario formando una V."",""Sin balanceo ni impulso, eleva la mano hacia el lateral con la mano mirando hacia abajo."",""Desciende de forma controlada sin descansar abajo.""]"
Elevación Lateral en Punta,https://fitcron.com/exercise/elevacion-lateral-en-punta-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/32371301-Landmine-Lateral-Raise_Shoulders_720.gif,Fuerza,Hombro,"Trapecio, Deltoides",Máquina,2,3,"[""De pie lateralmente en el extremo de la barra, con las piernas separadas y la espalda recta, coge el extremo de la barra con la mano más cercana a ella y llévala a la altura de la cadera a la pierna contraria."",""Desde ahí realiza la subida en diagonal, con el brazo completamente estirado."",""Luego desciende de forma controlada.""]"
Elevación Lateral Horizontal Aislada con Mancuerna,https://fitcron.com/exercise/elevacion-lateral-horizontal-aislada-con-mancuerna-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/03411301-Dumbbell-Lying-One-Arm-Deltoid-Rear_Shoulders_720.gif,Fuerza,Hombro,"Trapecio, Deltoides","Banco Plano, Mancuernas",2,3,"[""Tumbado de lado sobre un banco plano, coge una mancuerna con el brazo superior, con el brazo paralelo al suelo y el codo flexionado de forma que la mancuerna esté hacia abajo."",""Eleva el brazo hasta ponerlo vertical manteniendo la flexión del codo."",""Con la otra mano puedes agarrar el banco.""]"
Elevación Lateral Horizontal en Polea,https://fitcron.com/exercise/elevacion-lateral-horizontal-en-polea-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/29241301-Cable-Side-Lying-Lateral-Raise_Shoulders_720.gif,Fuerza,Hombro,"Trapecio, Deltoides",Polea,2,3,"[""Tumbado de lado en el suelo con los pies cerca de la polea, coge el agarre con el brazo superior y la palma de la mano hacia el suelo."",""Con el brazo estirado, eleva la mano hasta tener el brazo vertical."",""Aguanta un poco y desciende de forma controlada sin descansar abajo.""]"
Elevación Lateral Inclinada Aislada con Mancuerna,https://fitcron.com/exercise/elevacion-lateral-inclinada-aislada-con-mancuerna-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/03231301-Dumbbell-Incline-One-Arm-Lateral-Raise_shoulders_720.gif,Fuerza,Hombro,"Trapecio, Deltoides","Banco Inclinable, Mancuernas",2,3,"[""Tumbado de lado sobre un banco inclinado, coge una mancuerna con el brazo superior, con el brazo estirado y paralelo al cuerpo."",""Eleva el brazo hasta ponerlo en vertical y desciende de forma controlada."",""Con la otra mano puedes agarrar el banco.""]"
Elevación Total Colgado,https://fitcron.com/exercise/elevacion-total-colgado-abdomen/,https://fitcron.com/wp-content/uploads/2021/04/04731301-Hanging-Pike_waist_720.gif,Fuerza,Abdomen,"Abdomen, Oblicuos",Otro,3,3,"[""Cuélgate de una barra de dominadas con las manos hacia delante a una anchura algo superior a la de los hombros."",""Flexiona las piernas hacia delante, con los muslos a 90° del torso y también de los gemelos."",""Manteniendo esa posición de las piernas, eleva todo el cuerpo mediante la contracción del abdomen hasta tener los pies sobre la altura de la barra."",""Desciende de forma controlada y vuelve a subir evitando balanceos.""]"
Elevación Trasera con Barra,https://fitcron.com/exercise/elevacion-trasera-con-barra-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/00751301-Barbell-Rear-Delt-Raise_shoulder_720.gif,Fuerza,Hombro,"Trapecio, Deltoides",Barra Larga,2,3,"[""De pie coge la barra tras el cuerpo con las manos en pronación, con agarre algo más ancho de los hombros."",""Eleva la barra por detrás flexionando los brazos, aguanta un segundo y vuelve a bajar de forma controlada."",""La espalda siempre recta y sin ningún tipo de balanceo corporal.""]"
Elevaciones Circulares con Mancuernas,https://fitcron.com/exercise/elevaciones-circulares-con-mancuernas-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/21431301-Dumbbell-Standing-Around-World_Shoulders_720.gif,Fuerza,Hombro,"Trapecio, Deltoides",Mancuernas,3,3,"[""De pie con la espalda recta, agarra una mancuerna en cada mano por delante del cuerpo con las palmas hacia el frente (supinación)."",""Sin balanceo ni impulso, eleva las pesas hacia el lateral hasta que los brazos queden paralelos al suelo y las manos mirando hacia delante."",""A continuación lleva las manos a arriba por encima de la cabeza quedando los brazos extendidos y las palmas también hacia delante."",""Desciende de forma controlada.""]"
Elevaciones Completas con Bandas,https://fitcron.com/exercise/elevaciones-completas-con-bandas-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/10171301-Band-Y-raise_Shoulders_720.gif,Fuerza,Hombro,"Trapecio, Deltoides",Bandas,2,3,"[""De pie con la espalda recta y las piernas ligeramente separadas, coge las bandas con las manos en pronación (palmas hacia abajo) por delante del cuerpo."",""Con los brazos estirados, eleva las mancuernas frontalmente hasta tenerlas sobre la cabeza, a los lados."",""Desciende de nuevo de forma controlada.""]"
Elevaciones Completas con Mancuernas,https://fitcron.com/exercise/elevaciones-completas-con-mancuernas-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/04191301-Dumbbell-Standing-Front-Raise-Above-Head_Shoulders_720.gif,Fuerza,Hombro,"Trapecio, Deltoides",Mancuernas,3,3,"[""De pie con la espalda recta y las piernas ligeramente separadas, coge las mancuernas con las manos en pronación (palmas hacia abajo) a la anchura de los hombros."",""Con los brazos estirados, eleva las mancuernas frontalmente hasta tenerlas sobre la cabeza."",""Desciende de nuevo de forma controlada.""]"
Elevaciones Frontales con Banda,https://fitcron.com/exercise/elevaciones-frontales-con-banda-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/09781301-Band-front-raise_Shoulders_720.gif,Fuerza,Hombro,"Trapecio, Deltoides",Bandas,1,3,"[""De pie con la espalda recta y las piernas ligeramente separadas, coge los extremos de la banda con las manos en pronación (palmas hacia atrás) y ponlas delante del cuerpo."",""Con los brazos rectos, eleva las manos frontalmente hasta ponerlas a la altura de la cabeza y desciende de nuevo de forma controlada.""]"
Elevaciones Frontales Declinadas en Pronación con Mancuernas,https://fitcron.com/exercise/elevaciones-frontales-declinadas-en-pronacion-con-mancuernas-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/35411301-Dumbbell-Incline-Y-Raise_Shoulders_720.gif,Fuerza,Hombro,"Trapecio, Deltoides","Banco Inclinable, Mancuernas",2,3,"[""Túmbate hacia abajo en un banco declinado, apoyando el pecho en el respaldo y con los pies en el suelo."",""Coge las mancuernas con las manos en pronación (palmas hacia atrás) a la anchura de los hombros."",""Con los codos ligeramente flexionados, eleva las mancuernas hasta ponerlas a la altura de la cabeza y desciende de nuevo de forma controlada.""]"
Elevaciones Frontales Declinadas Neutras con Mancuernas,https://fitcron.com/exercise/elevaciones-frontales-declinadas-neutras-con-mancuernas-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/42361301-Dumbbell-Incline-Two-Front-Raise-with-Chest-Support_Shoulder_720.gif,Fuerza,Hombro,"Trapecio, Deltoides","Banco Inclinable, Mancuernas",2,3,"[""Túmbate hacia abajo en un banco declinado, apoyando el pecho en el respaldo y con los pies en el suelo."",""Coge las mancuernas con las manos en martillo o agarre neutro (palmas hacia el interior) a la anchura de los hombros."",""Con los codos ligeramente flexionados, eleva las mancuernas hasta ponerlas a la altura de la cabeza y desciende de nuevo de forma controlada.""]"
Elevaciones Frontales en Pronación con Mancuernas,https://fitcron.com/exercise/elevaciones-frontales-en-pronacion-con-mancuernas-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/03101301-Dumbbell-Front-Raise_Shoulders_720.gif,Fuerza,Hombro,"Trapecio, Deltoides",Mancuernas,2,3,"[""De pie con la espalda recta y las piernas ligeramente separadas, coge las mancuernas con las manos en pronación (palmas hacia atrás) y ponlas delante del cuerpo."",""Con los brazos rectos, eleva las mancuernas frontalmente hasta ponerlas a la altura de la cabeza y desciende de nuevo de forma controlada.""]"
Elevaciones Frontales en Supinación con Mancuernas,https://fitcron.com/exercise/elevaciones-frontales-en-supinacion-con-mancuernas-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/39111301-Dumbbell-Low-Fly_Chest_720.gif,Fuerza,Hombro,"Trapecio, Deltoides",Mancuernas,2,3,"[""De pie con la espalda recta y las piernas ligeramente separadas, coge las mancuernas con las manos en supinación (palmas hacia delante) y ponlas delante del cuerpo."",""Con los brazos rectos, eleva las mancuernas frontalmente hasta ponerlas a la altura de la cabeza y desciende de nuevo de forma controlada.""]"
Elevaciones Frontales Inclinadas con giro con Mancuernas,https://fitcron.com/exercise/elevaciones-frontales-inclinadas-con-giro-con-mancuernas-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/03251301-Dumbbell-Incline-Raise_Shoulders_720.gif,Fuerza,Hombro,"Trapecio, Deltoides","Banco Inclinable, Mancuernas",2,3,"[""Tumbado hacia arriba en un banco inclinado, deja caer los brazos a los lados y coge las mancuernas con las manos en agarre neutro (palmas hacia dentro)."",""Con los brazos estirados, eleva las mancuernas frontalmente hasta tenerlas a la altura de los hombros, girando las muñecas de forma que queden en pronación (palmas hacia abajo) y desciende de nuevo de forma controlada.""]"
Elevaciones Frontales Inclinadas en Pronación con Mancuernas,https://fitcron.com/exercise/elevaciones-frontales-inclinadas-en-pronacion-con-mancuernas-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/11761301-Dumbbell-Incline-Front-Raise_Shoulders_720.gif,Fuerza,Hombro,"Trapecio, Deltoides","Banco Inclinable, Mancuernas",2,3,"[""Tumbado hacia arriba en un banco inclinado, coge las mancuernas con las manos en pronación (palmas hacia abajo) a la anchura de los hombros."",""Con los codos ligeramente flexionados, eleva las mancuernas hasta poner los brazos perpendiculares al cuerpo y desciende de nuevo de forma controlada.""]"
Elevaciones Lateral - Frontal Alto con Mancuernas,https://fitcron.com/exercise/elevaciones-lateral-frontal-alto-con-mancuernas-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/42381301-Dumbbell-Seated-Lateral-to-Front-Raise_Shoulders_720.gif,Fuerza,Hombro,"Trapecio, Deltoides",Mancuernas,3,3,"[""Sentado con la espalda recta, agarra una mancuerna en cada mano con las palmas hacia el cuerpo."",""Sin balanceo ni impulso, eleva las pesas hacia el lateral hasta que los brazos queden paralelos al suelo y las manos mirando hacia abajo."",""A continuación lleva las manos al frente por encima de la cabeza y con una pequeña rotación de los hombros hacia el interior."",""Desciende de forma controlada.""]"
Elevaciones Lateral - Frontal con Mancuernas,https://fitcron.com/exercise/elevaciones-lateral-frontal-con-mancuernas-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/03351301-Dumbbell-Lateral-to-Front-Raise_Shoulders_720.gif,Fuerza,Hombro,"Trapecio, Deltoides",Mancuernas,2,3,"[""De pie con la espalda recta, agarra una mancuerna en cada mano con las palmas hacia el cuerpo."",""Sin balanceo ni impulso, eleva las pesas hacia el lateral hasta que los brazos queden paralelos al suelo y las manos mirando hacia abajo."",""A continuación lleva las manos al frente del pecho y con una pequeña rotación de los hombros hacia el interior."",""Desciende de forma controlada.""]"
Elevaciones Laterales con Banda,https://fitcron.com/exercise/elevaciones-laterales-con-banda-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/15081301-Band-Lateral-Raise-Version-2_Shoulders_720.gif,Fuerza,Hombro,"Trapecio, Deltoides",Bandas,1,3,"[""De pie con la espalda recta y las piernas ligeramente separadas, agarra un extremo de la banda con cada mano con las palmas hacia el cuerpo."",""Sin balanceo ni impulso, eleva las manos hacia el lateral con los brazos estirados, hasta que los brazos queden paralelos al suelo y las manos mirando hacia abajo."",""Aprieta los hombros y aguanta durante uno o dos segundos."",""Desciende de forma controlada sin descansar abajo.""]"
Elevaciones Laterales Declinadas con Mancuernas,https://fitcron.com/exercise/elevaciones-laterales-declinadas-con-mancuernas-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/03261301-Dumbbell-Incline-Rear-Lateral-Raise_Shoulders_720.gif,Fuerza,Hombro,"Trapecio, Deltoides","Banco Inclinable, Mancuernas",2,3,"[""Túmbate hacia abajo en un banco declinado, apoyando el pecho en el respaldo y con los pies en el suelo."",""Coge las mancuernas con las manos en martillo o agarre neutro (palmas hacia el interior) por delante del cuerpo dejando los brazos hacia abajo."",""Con los codos ligeramente flexionados, eleva las mancuernas lateralmente hasta ponerlas a la altura de los hombros y desciende de nuevo de forma controlada.""]"
Elevaciones Laterales Declinadas en Pronación con Mancuernas,https://fitcron.com/exercise/elevaciones-laterales-declinadas-en-pronacion-con-mancuernas-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/03861301-Dumbbell-Rotation-Reverse-Fly_Shoulders_720.gif,Fuerza,Hombro,"Trapecio, Deltoides","Banco Inclinable, Mancuernas",3,3,"[""Túmbate hacia abajo en un banco declinado, apoyando el pecho en el respaldo y con los pies en el suelo."",""Coge las mancuernas con las manos en pronación (palmas hacia el suelo) por delante del cuerpo creando un ángulo de 90º entre torso y brazos."",""Con los codos ligeramente flexionados, eleva las mancuernas lateralmente hasta ponerlas a la altura de los hombros y desciende de nuevo de forma controlada.""]"
Elevaciones Laterales Declinadas en Supinación con Mancuernas,https://fitcron.com/exercise/elevaciones-laterales-declinadas-en-supinacion-con-mancuernas-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/35421301-Dumbbell-Incline-T-Raise_Shoulders_720.gif,Fuerza,Hombro,"Trapecio, Deltoides","Banco Inclinable, Mancuernas",2,3,"[""Túmbate hacia abajo en un banco declinado, apoyando el pecho en el respaldo y con los pies en el suelo."",""Coge las mancuernas con las manos en supinación (palmas hacia delante) a la anchura de los hombros."",""Con los codos ligeramente flexionados, eleva las mancuernas lateralmente hasta ponerlas a la altura de la cabeza y desciende de nuevo de forma controlada.""]"
Elevaciones Laterales Declinadas Neutras con Mancuernas,https://fitcron.com/exercise/elevaciones-laterales-declinadas-neutras-con-mancuernas-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/03831301-Dumbbell-Reverse-Fly_Shoulders_720.gif,Fuerza,Hombro,"Trapecio, Deltoides","Banco Inclinable, Mancuernas",3,3,"[""Túmbate hacia abajo en un banco declinado, apoyando el pecho en el respaldo y con los pies en el suelo."",""Coge las mancuernas con las manos en martillo o agarre neutro (palmas hacia el interior) por delante del cuerpo creando un ángulo de 90º entre torso y brazos."",""Con los codos ligeramente flexionados, eleva las mancuernas lateralmente hasta ponerlas a la altura de los hombros y desciende de nuevo de forma controlada.""]"
Elevaciones Laterales Delanteras con Mancuernas,https://fitcron.com/exercise/elevaciones-laterales-delanteras-con-mancuernas-deltoides/,https://fitcron.com/wp-content/uploads/2021/04/24701301-Dumbbell-Lying-on-Floor-Rear-Delt-Raise_Shoulders_720.gif,Fuerza,Hombro,"Trapecio, Deltoides",Mancuernas,2,3,"[""Tumbado de lado con las piernas juntas y flexionadas, pon la mano de abajo sujetando la cabeza (o en alguna postura cómoda) y agarra una mancuerna con la otra, con el brazo estirado hacia delante y la palma hacia el suelo."",""Sin balanceo ni impulso, eleva la pesa hacia el lateral con el brazo estirado hasta que quede perpendicular al suelo."",""Aprieta los hombros y aguanta durante uno o dos segundos."",""Desciende de forma controlada sin descansar abajo.""]"
